unidade;ano;mes;grupo;subgrupo;exames
CSSI;2023;11;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;275
CSSI;2023;12;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;2274
CSSI;2023;12;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;234
CSSI;2023;12;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1512
CSSI;2023;12;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;157
CSSI;2024;1;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;2914
CSSI;2024;1;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;263
CSSI;2024;1;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1637
CSSI;2024;1;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;122
CSSI;2024;2;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;3598
CSSI;2024;2;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;289
CSSI;2024;2;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1362
CSSI;2024;2;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;239
CSSI;2024;3;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;3849
CSSI;2024;3;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;363
CSSI;2024;3;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1530
CSSI;2024;3;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;225
CSSI;2024;4;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;3533
CSSI;2024;4;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;357
CSSI;2024;4;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1960
CSSI;2024;4;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;193
CSSI;2024;5;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;3559
